a,b,c,d,expected
a3c1ed12,23702451,9bb6a0c2,9da03d34,a313cb48
22614b57,9d84b197,1e206632,241cc92a,242ae3c0
1f564253,9cb5434c,2484818a,9db30c3f,248498d1
9f4bb526,22c2707c,2293c73f,a2ffa10e,2229fe85
1ce3b829,9cdfb2b4,9b0a1c79,9fae22f5,9fae57ed
24c50cc1,1ddb29b6,9fb0753b,9ce83541,24c4e328
9fd5440c,1edb18eb,241b52a8,9be2a040,241b02f8
244a29d1,1fdc6984,9ebb1194,a2516b4a,243d69ef
1c46b4a7,20272166,23f4244d,9ccad8ae,23f570f2
a26a7e16,1d21f26c,1d99115a,24cacbc0,24c37b77
a2edb5ee,a0be86fc,9f13e5b6,a22c226a,a3286baf
1cc8c49f,20b0fddf,24da8f1a,23d2da48,2507fbb9
22ffb365,9b819642,1df6cce8,a49a5461,a48a5570
a33a215c,1c0b0c1f,a376ee53,a39f244b,a43bd586
9c7afce7,1eaccc92,9f0be47d,9f14fca6,9f4e66ce
a477944c,1b388f11,9ea477ec,9c8b7c43,a477a9c4
a2d70446,1fededc0,a4d968cf,1dca2e29,a4e69a6f
9feb92b3,1d0d25c7,210b2ea0,9b514dd9,20dc78b5
1d608dbd,23b909ff,1b7bb8c5,21fe3a5d,23c8f527
a2ef0e8a,9eaf345c,227a5fad,1e3ed3dc,a2645cfc
9d86a761,a2c9ee51,a4383db4,9e3fd686,a4518bb1
9e74e51d,9f61e48f,24e3e5c6,a074d181,24e3477a
1c69dec6,a035b29f,1c4e8ddd,1fd782aa,9f9071bb
9be85cf7,21e766a8,9bfbcceb,1bd6c9d6,21e755d2
a466d0cc,9bb64609,9f42614d,a4371b18,a4cf0e6c
21410473,a423561d,a03ed8d5,23735906,a3c87545
1f4692ee,a4daebcb,21e07cc5,1e33f636,a4d74b66
220417f8,9b78c06b,9bb0fc5f,a08f7af9,21e43e5c
1d284b31,a131cc9b,1bad0b8c,a43c7ed6,a43f4311
a33bbb0f,9e6f327a,1ce54a95,243fa436,2410a84a
1ef1c16d,9f0a0aab,1e3d3d3e,218a2f51,218b207c
9f8585a7,2255dc06,1c45212f,a33560bf,a300f1b4
2381e93e,2436261f,9b0e8252,23df1828,24b35357
233db8fa,9bb2b864,1d152f73,a42f204d,a3ff6026
a2d975f8,a3901884,a261e505,a371af1b,a42dc518
9b2a1600,21125bcd,1c68caef,20b8d67a,216ef69b
1b250df0,a1021f9a,a4ea5df9,235eb288,a4cf8bd3
a04dd849,a2039480,9c1c67e7,21858add,a19b6cb9
1ddc157a,228a5c06,1d155bff,21fe10fd,22ca29f6
1e91f457,a08b725c,1cace361,9c3afed5,a08203b3
1d72e6ba,9d20f2cb,21c276d8,9fc6849e,21b63788
a4c2e6fb,1bc0b98f,22329298,9c4f5b22,a4bd529e
1e4ac43b,a1f157aa,9e034bfb,22bda73d,2281750f
9d8f60dc,a4a0237c,1c74ef77,a4f49a6d,a54a5fd6
9fd31044,220ffe7a,21547d8d,1e30abb1,223f3607
22bd24c9,21f5b3c9,20dfdd77,a4addad8,a49d51df
a4ab704f,a3bc525f,9fb339f7,1d452aa1,a4dab02b
23bbb7fe,9ea94792,a2269dad,2192e7ad,23afe871
21394b35,a26fef7b,9fa1a801,a0e81eba,a263adc5
9e958254,1b657362,2403aa4a,1fc69ea0,2403fb22
9e6a37b5,1e8febb1,20440f1d,9eb50d15,2030c775
9ea9076e,2385edc5,237636e9,1badc1ff,24006fd3
20e8617e,1d3dc08e,9e0a0c3d,a0f6a16d,9f08a67e
9bb2edea,9b5f1a87,1f406a40,1be68ec7,1f3ff267
1c54d373,a3e43d64,1e1f84dd,219ddcbe,a3da49fe
9c1293c8,9e2a03d1,1df577eb,1eaa61de,1e8e2952
a3610001,9db75f9e,9d314e51,a13e2e61,a36d04e8
9bd136d0,a3640933,a41d577e,1d6349b5,a45656a6
1c3a9b54,1b173ab9,1ff5e808,1c8a7574,1ff9d2b2
1ca9a2cf,1e4db259,a2902255,a4d79085,a4e08b93
21bbb690,a25fd60e,1c57c907,a4822bdc,a4863b46
a2334a3f,9dea3c9f,1d34e5e5,235b74b4,232e902b
a0c5371a,1ccff3d2,9d461650,21572c92,20e865d1
9e83e03d,9f29c5a6,a406fca7,1ca8f719,a4073643
9c016a2d,a00c2aa0,a3656d65,a24d99d1,a38d8345
22e21a06,218277d1,2126fe9f,1cd76b5c,230bd2a2
20de88a1,22ee2ac0,9f09db1e,2236e60f,232b394e
a09db301,9cfda81d,a3ab11a4,9c542f5e,a3ad8e0f
23bc7286,a31161db,20a06b6d,a434475f,a3f24b78
9dcc6e69,9d33692a,1e139d98,9e5a5e69,9e59d250
a11dfdba,9d7f08c6,9fd4f358,24fda147,24fc2e11
9c46a82c,235dcbc0,a4e3dac6,a204b72f,a4cc476b
9c02c6f7,1eb11849,a3c45cb8,a3c9afc6,a446f09f
9ce82d29,a3d20a44,1e039466,1c8357c8,a3d1fb65
a3a96b02,1c018d7c,1b2b681c,208888fc,a3a74785
9b6332bf,1f0c2791,1dd73a42,20f817ec,21066eb0
a4712e00,1d01091b,a41ec81d,9f46f68a,a4c812eb
a346eb3a,2113b511,a09e130d,a4b04263,a4c89673
a4fff2fb,1ddc74a6,9d3fa14c,2151dc71,a4fe4d50
9e49212c,1e0cc608,22ae50a3,24ed7186,24f854ad
a358108b,1e677b14,1ce35748,1bf6f5cc,a357cda4
9f9cbb6b,9b7e4f93,208243d6,9f6eb1e0,1ff47bd5
9e03f666,1c3f2171,a3f58b86,a498f1c4,a4d65866
a3fd2040,2373c907,a2b8bc5d,9bfd5582,a3b16bd1
a452c077,a49c9f4a,1b9db936,24f5f85e,a3003801
204ce492,9b686b3a,2467a5f6,a4e9f5f4,a46b7948
a1a9731b,a49843b1,1b3a72bb,20e4e546,a49a0481
22086bec,a2f57fde,9b7a21c7,2328dc4b,22a06cba
9b9789cd,23f95aac,a4e4467f,a3d13a21,a4da3e82
9bdd2c23,a23cbb75,9f8dd884,9dddc77a,a241a006
1b0bf751,9e4c8dd0,a22141ff,1b9bd25c,a222077e
1bab4b53,a2d5af8d,1d8644d2,9e6ab3e2,a2d600a9
9db6674c,1cac8c6a,1bf53dcd,24d5b349,24d5b159
9cb6beef,1c0c64fd,203ac071,9c4f555b,20391003
9cc459a2,a461924a,239ed343,a1fa6296,a419fd46
9f304c59,a161c8c1,2032ccd8,a2e6a48b,a2fea7d5
2355cc43,9b87a0d2,9daa6dc1,2110146a,235eb72d
2092a196,a0a18ce7,2216c38d,235eed01,23821345
a259b89a,a398fd47,a0e2d88e,a018344f,a3b8f025
a1044caf,23a31aeb,2054df77,a284d684,237ed947
9dfc5492,9c6edd19,9e4a6bf3,1ce634b7,9e9d5ebb
1b24d8cd,1b6ef502,1d64ccf8,a0e6977d,a0e49b69
9fe7071a,22f3df6f,a29f0aa1,2192e1d4,226be24d
9da90b20,1b235303,a0bb7191,23699d02,2363acf7
1bce4b21,a3251260,1d4c1145,a48f70b9,a4a41139
2311f891,206a155b,9c424b0e,23394d07,23a77572
9fe3e6d5,1b23ce84,a1f54397,2182753a,a18107ac
1e2af655,9b429477,a427c937,9eb5d853,a427d573
a3a38671,a0d4557a,1c0947ef,1bc2b1ad,a3a6d5f2
21f4e07e,1c1d1692,a28c0d27,9f31432d,a220654a
a40c08ef,2115d03a,23786755,9c3e934d,a397312f
a3f200d0,9b3c5dae,9d0fba19,9ef48cfb,a3f242cf
23790b6f,a164ebee,a0339a59,9ee3261a,23677cb4
20b73e35,a4e9ebb0,9efc8143,a1456e64,a4eacf17
2090fdeb,1bc9d85f,a0a0ddca,9f197e93,9f8b74ed
20edb3e7,1c10c67d,9d168a5e,20ff83f0,21762993
9e62f2f2,a3568f27,a2106dd5,20616493,a3775dc7
20c44358,1bee4afd,2075f51a,1b591a34,211fca4e
1e21d462,21290a80,9f47014c,2217b6fc,223f7f6b
9f1b1cdf,1b016aaa,a04a814e,229474cc,228ceb8b
9cd61908,1b1c033c,205e0aba,a4e470f9,a4e402b6
1b5006be,a1ebbad9,20ff9f19,a4e2ac3e,a4e55b70
22a4a08b,21408115,a385ba7b,9f58d909,a32df578
9e4b9fb6,a2f3d5dd,1d5549ca,9c48e52e,a2f4274b
1e55841d,9ba72f71,a1ef1046,23fb64d9,23ec8dde
1d066682,a415ad32,1b9f31a2,a0b95871,a4171d7a
a137f919,a4582151,a3eede9d,1f7a4cac,a4a918f8
a2e37723,a2ab2793,1c14d175,a34f1758,a3cb3230
1b3d48f8,9be5b9f5,1bd5aedf,226d417a,226d43ef
1e671d3e,1d99b3a3,1d667f26,215e2cfa,2163e355
9ca3a8e1,24c2e0df,2092dacf,20be6789,24c4317e
1b458f42,1b9c5c5c,24fd1115,9eba1d04,24fd05b3
1c014c37,9dd0deda,a34f702a,2237759d,a321aad9
246955ba,a27bc7a7,1eb7be40,1e15efef,2459b996
1cab5da7,1bb82344,2052b393,1f4f12f0,2084158e
a1602c63,9e51aea0,a24327d9,1ba97e14,a27bff54
20b65e78,21fd6f34,20fb9eac,9f3a7d54,22320d49
1cdf09ae,a18aa14f,a2451fa7,1d160fce,a2851775
a3d14481,1f6fc38f,2292a800,245f9d76,24098c26
1effece4,a3e4fa15,9d671e69,9b8fe80a,a3e4c1e3
1b541fe9,1feb857c,237baf63,9d6999a0,237d78a8
a039fb8a,9d280277,9b1654ea,a04cdb86,a0c4ce58
9c57340c,2070b5ae,9ca2b238,22764e37,22829be4
9d9e081d,a2d4df99,243e8643,9f5af2c0,2423aea3
9ea0951c,1b79c1a5,1b4d9a32,23c45cb2,23c43570
9c3c8538,2227df81,204555ec,a2bc20e8,a24418b9
9d1ede58,24d2a717,9c48ac01,9cfdf989,24d2a477
207a1d22,1cfbb52f,a4634fb0,a1926041,a466e69d
a13cd544,1de20adc,a2402a66,21f26494,a1eb78cf
a4ca9c6b,9d2e80d7,1c06ba39,9e8f71af,a4caa67c
1dba623d,9c26458d,222ee542,211a9642,2255dd9f
2188edc0,a2fa6878,1fe5e706,227480e8,a234a9f0
a476440c,229ec156,205effb3,1fd1f6a9,a46123e6
207f79b5,225912e0,9d01fb9b,21cd4073,22a7c51b
a2be3b40,1b608327,a202b9fc,9b63dd65,a2ff9845
9b3c268f,2377724b,a4bd8655,a3d83ed2,a4d4a7d8
9c9b5ff1,216d952f,a418c2b4,9deb07ee,a41514ee
a186b6ba,9fb70481,23870121,a3f4b963,a36db564
9d509428,200fcc6c,1ba8444f,a19bec4b,a18a5083
a1c43c74,1c4e47e6,a35e50ca,9c421a8c,a376d828
9e782eab,1c45b185,1dcb64fa,9e1dce9c,9e91f7d9
a3e39da2,a3f6b3d8,a45436ee,a3b37ae5,a506c747
24790968,215edc49,9c5f8384,9d1ed577,247c817e
a2f4bf26,249ade0d,9d58efee,9e391844,248b8aa0
1c35ee09,a0409333,9d08eb15,a311c3f8,a314cbfc
a4c214f0,a34a517b,9e948002,1bd1f1d4,a4db6833
9f8cf9be,a05847be,a10a34de,9bfec5c7,a15205de
24dd0e20,1b5ce5a2,9d4b163c,2454518a,25239ab5
9c459fba,a1bcbb5d,a39e0fb4,a4589937,a496c3d9
9c6331e9,21e296c5,1fce6c19,a307cbba,a2d3bf2c
a375d99a,a34a3825,9ee27be7,1fdf4ade,a3df6234
a37bc638,1ee2a784,9d1304da,a4d6a2f7,a4f60eba
202e1f2a,228abd89,1ca2ff18,2299c8f8,231500d5
9e922142,1cf62fbc,a07e34a0,9f3ddfba,a09f022c
9f69b4b3,21293e17,a34a230e,1fe43402,a33eb079
1ce80769,9bb2a450,246db85f,9e26c34a,246daf6a
1d712b96,a1e64ed2,9e3b4249,9b3426b9,a1e75262
238aecc1,22280403,a058e852,2373ff97,240c1d9e
20e0162c,206c2bff,23688c3f,9c23a986,23733b12
a49a0e6e,1df7f1ae,a015075d,a2a64607,a4a4b972
9fafb95b,9d1d8222,238833b0,9d6bae27,238777ad
a24cb672,1dc3fa36,226358c7,1fcc894c,20eb44e4
217cad8a,9f902bd8,a16724cf,1b7c8c21,1e64c231
9e80d198,a282d4c8,a2a9c166,220a7f0e,a2e7d779
1b48c329,a25e09f2,a4a64aa7,1bf3a3fa,a4ad3aa1
9ba8eab0,9edb374b,a447be43,9f4304a3,a4480ac0
200d2d3c,1c5a5296,9f10f554,1bd2e395,1fd46757
1f0948ef,1defd933,9beec9b9,2403a6fe,2403d058
a4a16711,9f598a97,204abd16,229937a8,a4978969
9f54b68f,220e7196,a37b4614,1eba7d92,a3582126
a21ed069,9c00cc1a,2151d391,22578887,21da49eb
2238e726,1c55c1c2,a1280268,1d414b3d,220f243b
9c45194c,227310a0,a12ca2c2,9dec7088,22476566
9dc10cff,237e49dc,9eaca209,9ea6974a,237d881e
1b93905b,9f028e51,a28de1d3,1d8601bb,a28ec321
1c42e390,a295eda6,a05c9316,24e0dae4,24d70e22
9bf3786d,9c25ca1f,9ca0fe11,9c3fb91b,9d484ee5
9f54689a,a00369fc,a0ab31ea,a4f8d5b0,a4f9dd24
a4d0257f,a35c3a33,a452d325,9b3cf8e2,a52a8b38
9d612911,a1e10ca4,9c233f2e,21df2879,9e9a49dc
a3d199df,1e1143ac,a2bf7552,2035af74,a3fff9ac
215c9e51,a2cc3b41,a1841cf1,1d8d5090,a2d18b5f
9dd94c74,1c90129b,2440f71e,206ff4f9,2441e169
22144e8c,9cee91c4,9d6cd3c6,9e16bf21,22135ec6
a0a62585,24f5a093,217c5a5b,a28c6261,24ee2cfc
9b080e58,230a2524,220576fe,9b4f650a,232b818c
1e4f3357,9b35797b,a0b8f1a9,1e0d5480,a0ae2419
a3d31a00,2177074e,23c4946f,a0592507,a187fa0a
9d0da0e7,1c1f1ae4,9e09db75,a132b534,a135427c
1f4d308d,1ca5c53e,1c73e4f2,a36cecd7,a36c16a9
1cd01926,1d80b71a,1fea05f6,a1e7f026,a1d89b09
2062c742,2102d3a8,9ed91cb8,9b560b9f,2134af32
2376431e,1b4e1392,a2ffbfef,1e55ac3d,22ed32bf
9bc9a3bd,2181a13a,21ce13ca,a4b7a8df,a4b26a3d
240d96dd,21cfa28e,9c972013,9c3f7957,24141204
a18ddc9d,235f68b7,23c62635,9cada687,24167d08
1e175231,a3552084,9c681cf3,241a209d,23c9c212
20f1eadc,9da4c111,a06f50f9,23015bc6,23051941
9b442484,9e47bbc3,237ef234,23bad17c,241d189e
21d23618,2120af46,1ef3813b,a321c3ec,a2f9f0e8
a3e6eb8d,210d1662,1ecf13d2,a291a913,a4035cad
a15b81ef,223030e8,a177865c,1d611b25,216e9c70
a29ec260,248ccf5f,a0aa847e,24de0d61,2530230b
9f8b8001,a2d67693,22f4a9e1,249af2d7,249cb32c
1c851a69,9dc9082d,a2973103,a009e079,a29ba9f7
a0061626,1f9c57de,9f4cb77c,1b23b7d2,9fd5de50
a19a6f56,1f23835d,a3f1f834,1b904d60,a3fb4cd7
1bc6a94b,9f478c19,a0dc2695,20dc87b6,9f42f5be
9cc78311,a28cabb7,246518ee,9db789a8,24537c2c
a219ac90,9c4aba0f,a447e5db,23b11cb9,a3f1e624
23fcc8fd,1f7b85c4,9b673cca,a4c6a9f8,a4875865
a450ea63,9fcc477e,1b6650f3,1c9c98fc,a4514f14
9f5eebb7,1e8008f5,1cdc68a4,a2e54e76,a2e67e7e
1b057dd0,a3db32c6,9bd77b05,9c08c1b0,a3db346c
9ce0e5e0,a4ccf793,219117d5,20e02c36,a4c9d3e8
1db548b9,1b470898,a11be8ab,1dae3fb9,a119152a
1fe4d953,9ff1f2d9,223c5df8,9bb5288f,223bef83
1b684cdf,1da0d668,1eb3a77a,218b210b,218e97c2
9c7da1bd,1bf4d36f,a29d83f1,22ef974c,22241e82
215ad7ff,1eab1fd5,208b25db,1c162de0,2192f4bb
a343cdf3,1b86d57d,a17d18b0,a32776fa,a3bd8ab5
a23f20b3,221322bf,1f09af9a,a1e5265f,a21c6a65
a1412ed4,9c0db043,9f22fa61,9e32c2b3,a14e4cf1
21cd4240,1b9a98a7,2227ca54,23be12e6,23dfe0ef
9df36afa,9e227c65,a0342cf9,1f87f365,a001f665
9f25b410,24127f1f,9da970bc,9ea76989,24123b79
1b1591e2,9f96359b,22301d44,2227625b,22a96824
a0dc46b7,1bb60e05,a2b2f410,20a0fbb2,a2b6a5e8
9b129e87,1e665064,1ed64ef2,9e73d60c,1ece66e1
23cc5a90,a1f7def6,a424abcf,247021cb,2429e44c
1e021473,a273dfd7,1cdee74c,2189479b,a22e9e18
20cf65d9,210d59ed,227e2f3b,a224157a,22175cf7
208cbd39,a0aea749,a4bca090,a036a86e,a4bd1dce
1eda4625,9c4f2e7e,1bc67b50,1fc7c18d,1ffd7b35
1f0bf7fb,1becf643,a1e4098b,1e358c53,a1de2fe3
a34f1a38,1b59112e,21bc694a,1e2a79e4,a3376197
a2a2c7d3,23b7d6aa,9d017b59,9b48abaa,238f2045
9bc35069,9b20d95a,1b3deeee,9c5650a5,9c9859ba
221376f3,20a19efb,1d244df5,1e779b36,2228cb81
208efbdd,1b75f0bd,1f7aeb94,a1febbab,a1d31da8
235f03c5,24c832b4,a07f0703,9e0ade66,24e38f52
1c7eade9,22f2843b,9d3e0ad2,a4d97712,a4ca4fcb
2236185b,9e61d11e,1c7a2618,1d57602f,22357c04
9b8d2e84,9c62bd8d,1bde4053,9ce1c32c,9d1f6ebf
21e0723e,1d0de160,1ec48321,a0fd2c53,21a48026
9e24c32c,1f926860,23b006ed,1cbf702d,23b087bb
a03cae61,9ee3e7ca,9d5975e1,1b6cad99,a05c5606
22982af7,210ea952,1fc217c2,9ee6bd3b,22ac21c3
