a,b,c,expected
8423,da0c,f49f,f49f
3f46,26ba,6cf2,6cf2
cc55,571b,aa41,e7b2
aaa9,fa2c,a63d,6923
bfb8,abf4,0a85,2faf
731b,741b,b66b,7c00
0e2b,6553,bf1d,bd10
a7bd,554a,467f,43e0
65f9,27f6,3d5b,521d
55d8,ace6,e8bd,e8c1
5ce0,7580,f578,7c00
051a,efbd,1a78,b8e9
6a73,f3cc,d6e8,fc00
2502,9d66,e2c5,e2c5
55c7,159a,7288,7288
d13d,0ea4,7ce0,7e00
7f32,34e9,f2ab,7e00
0297,87ce,1f3a,1f3a
6d75,ee9f,765f,fc00
c5d7,0ce8,ceb3,ceb3
d470,c73d,b5f0,6003
99b9,f233,450b,5110
cdfd,ff26,ad81,7e00
5d82,5c70,0664,7c00
4e70,ebb7,6c50,fc00
c2ba,6870,7001,6060
9281,b8db,b635,b633
0356,5fe4,96df,96df
1ce0,d980,ed92,ed92
b67d,d481,5434,5608
c6ab,ead9,969f,75b5
66c5,559f,f8f6,7c00
1343,cdb6,80ca,a52f
acb7,d07a,3190,41a0
62fe,9125,0917,b87f
9f44,cb73,9e61,2e5e
00c5,5bd5,878a,878a
adfe,3aef,588f,588e
6260,6cc8,a47b,7c00
50ba,ad45,c9cf,cb5e
3d5c,6702,c293,68b0
0afb,dbba,b7a3,b83d
1992,e559,87c2,c372
75fe,a092,2c93,dad8
0b5f,06c6,4733,4733
21e8,4ba0,47a7,47d4
167f,5a26,8951,34fd
2b67,9280,070a,070a
1fdb,1fb8,99d8,99d8
b7b1,b896,559e,55a2
4fdd,ed29,7662,fc00
4106,b6fb,d88f,d898
7959,626f,a3f8,7c00
3ff3,2e3b,b370,a8fc
0801,7b80,952f,4782
b8fd,ee8b,51c4,6c20
cc24,749f,effa,fc00
1bf6,a808,1ce8,1cc8
cc62,a692,3b2f,3d64
c8cf,0482,1193,0000
1897,d835,ec77,ec77
e6a0,2f97,7273,725a
324a,c670,7fc7,7e00
15a3,a5a5,d067,d067
ef53,e0fd,bce2,7c00
ec6f,09fd,95d8,baa6
4062,0898,b75c,b75b
0b91,b77f,536d,536d
d151,2ec1,0b35,c47d
eca2,eecf,c3bc,7c00
b6a8,6fe3,60a0,e968
9643,5b20,d18d,d198
6514,532f,0f93,7c00
e5f7,577f,f587,fc00
b486,84c2,5190,5190
127f,ac20,eaaf,eaaf
11cb,a3ba,9f72,9f72
b1d5,4d76,4415,2e80
1aed,c69d,3825,37ee
b8e5,0d6c,2232,2217
29b5,1707,4d1a,4d1a
781a,c0e1,bd14,fc00
d31d,7e60,f91b,7e00
9b6e,a3bf,15e0,15e0
71c4,6bfb,9f3c,7c00
232f,b292,de03,de03
9222,f4bf,ac30,4b3f
9dff,2010,dcab,dcab
e4db,489d,a9dc,f19a
442d,8d74,aa05,aa33
b862,7f7b,f6e8,7e00
8424,4917,0d5c,8d2e
79f0,012d,b0b4,b0b4
c25e,cc62,02bb,52fa
d3e0,e473,00be,7c00
28fc,c3d4,8b9f,b0e3
17d6,c4a0,ccff,cd00
4d42,e07f,6811,f0e5
8718,7fe9,d6de,7e00
5a35,0239,9542,9542
8767,caad,8f17,1467
b271,1d1f,0fae,9069
2b55,4696,8bc1,3608
de7e,409a,29e9,e378
8581,afd9,0310,0000
6c67,9fa0,9d88,d032
ff2a,30f5,9caf,7e00
9c26,d5dc,16a9,361b
4af6,c219,9762,d14e
c731,7398,2997,fc00
220c,5b3b,55f9,5625
cb86,5f38,b023,eeca
12ac,f013,0940,c6cc
2f07,19ff,9fed,9f99
118f,2a8d,63cb,63cb
5772,d9d6,e48e,f5b7
345b,7d61,3341,7e00
d71f,2ad6,e7be,e7c4
8355,d032,6e98,6e98
ceb9,c23e,ecbd,eca8
c47c,5895,d939,e271
7a39,dd55,7930,fc00
a6b3,12a9,f345,f345
cf0e,7435,3bea,fc00
09bb,6a64,bbe0,b698
3907,4c34,d63b,d592
0beb,be6b,c004,c004
5466,54c3,d305,6d2e
036c,e3df,db73,db73
7d5d,102e,3b62,7e00
9b36,1ba7,1f33,1f33
9a8f,710c,9171,d023
427b,b469,469d,45b8
6692,5290,2077,7c00
433e,3712,6e5b,6e5b
9439,b7b6,6559,6559
62e4,7dd9,2074,7e00
173d,cb16,047e,a665
5d88,878b,23f4,a674
c680,0439,7279,7279
4200,feee,eb21,7e00
b45f,1e7d,1475,9144
c22f,4e58,b1e7,d4ea
dcec,bf74,b380,6096
0d0f,34bc,cfe6,cfe6
72bf,25be,4244,5ce5
bb15,db5c,e8f6,e88e
1fc2,4c4b,d099,d095
068f,0db2,33e4,33e4
1c55,4ab8,6d1c,6d1c
efcd,24db,d444,dade
ac2e,33f0,c85d,c85f
76ed,33bd,ebf3,6973
71c4,74cb,ab8f,7c00
a8d9,d9d9,89af,4716
d954,7226,6663,fc00
f520,dcfd,e6dd,7c00
9164,6816,96f9,bd84
5a09,36f5,7f44,7e00
7c63,0b21,ecb3,7e00
9cde,ff89,5af9,7e00
ae92,89b9,265f,265f
eb00,a3f7,2544,52f9
3fec,1203,6c0f,6c0f
cb17,e14f,96f6,70b4
7901,71f0,bfdb,7c00
637f,589f,edda,7c00
0353,4697,e78b,e78b
1ab1,2ea2,897b,099d
6620,0fa0,13bc,39d8
8ab2,6daa,d664,d677
950b,9f42,7e40,7e00
95a0,b4a7,0f49,12ea
442a,5e2b,511c,6695
a98c,500b,965e,bd9d
0d2d,2f81,7cfc,7e00
69f2,e2f1,8822,fc00
6ad6,6b50,7059,7c00
6307,5a5c,bf99,7c00
3bc9,2659,2bfd,2d8a
01a1,e072,a268,a268
4f86,0cc3,4339,433d
5df4,9671,65ec,65eb
2c4a,019c,1d77,1d77
9da3,82d8,ed14,ed14
5bfc,6af8,e2a3,7c00
ad89,9764,49c8,49c8
8b97,b8bf,cae2,cae2
beb0,4462,4fef,4e1a
4623,93d1,13f0,9d01
ffe6,885f,e697,7e00
5a96,1cbd,7edf,7e00
f024,af0b,8d70,634a
4eb6,160c,a916,8600
b8d8,0b62,5368,5368
d71d,b510,af70,507c
383d,a253,b76f,b78a
02d8,c555,d18c,d18c
02ba,9c12,b8b0,b8b0
3663,418b,f9bc,f9bc
1ce8,5f92,904b,40a5
1108,89c6,e71b,e71b
42cd,cade,fd7f,7e00
7e33,d352,edf9,7e00
156e,208f,5374,5374
ec44,dc62,918b,7c00
5c18,7bb3,2b7a,7c00
55d4,9de3,ce34,ce56
ec96,048f,6a38,6a38
0426,486c,5eb4,5eb4
5429,54b9,2ba6,6ce9
598d,ecde,9279,fc00
2484,5ca2,94d6,453b
22dc,90ea,5f4a,5f4a
1a91,92ee,1a4b,1a4b
bc08,5c49,43b9,dc43
89eb,1b90,2cfc,2cfc
ace5,0606,54ad,54ad
b68c,c4a7,98a9,3f9b
f588,6bb1,5b1a,fc00
4a79,e4c1,4604,f3b0
581c,eca4,d5a5,fc00
6952,6e87,35ef,7c00
a56c,6740,4555,d03f
a1f3,6690,e1fe,e225
9d46,90d8,052c,052c
6483,e723,8c45,fc00
5cfb,4d9e,8712,6efe
19bc,cb6b,94b5,a977
68a6,d05a,62c9,fc00
d759,6e12,7026,fc00
3c7d,adc2,50ac,50a9
128c,52f1,24db,2c0e
0e7d,e439,7693,7693
d9db,e1c7,333c,7c00
637e,a568,a7a6,cd12
cc00,9982,a7cc,2270
395b,f0bd,01f8,ee58
84be,85fb,6d70,6d70
5d98,8337,43a0,43a0
93a5,b474,c085,c085
0839,8e2b,b2ac,b2ac
fa9f,58ac,873c,fc00
932e,f494,504f,525d
6b75,6cd4,f0ca,7c00
2afb,54e4,f6a3,f6a3
64e2,7692,3613,7c00
adb8,bd91,182e,300b
44e8,cd30,960d,d65d
f48e,cd9e,ce00,7c00
a574,ae35,9f75,9d58
0d02,4a8f,a1d6,9f91
5fb8,1bca,340b,4043
8549,2adf,2b0f,2b0f
53c7,6165,ebcb,78c2
5d97,029b,d174,d174
7407,2479,b55b,5c80
daa3,f059,8e87,7c00
4ab9,9d3b,7cb1,7e00
821b,6adb,9364,9364
f028,12e3,4ebf,4cf5
979a,b9f5,dbbe,dbbe
9c90,94c8,33a0,33a0
d7f4,ded3,e9cc,7a6c
8adb,7aef,439c,c80a
6b8c,862d,de22,de23
ccfc,b185,1651,42e2
db72,c0ff,12c4,60a6
c72e,2798,f9c1,f9c1
0009,4b37,e31d,e31d
5cf1,dcfa,736c,fc00
9404,fc76,03f7,7e00
e720,f175,6c40,7c00
8891,20df,b4ee,b4ee
b8b0,f70a,f354,6760
5d19,103e,f4d8,f4d8
4f55,1b3a,1b1a,2ed9
52b0,b5cc,4fa0,498e
4661,2868,9c62,32e4
21fe,0180,0194,0000
9fef,bb36,7205,7205
31db,47d0,eac4,eac3
7f5e,2684,9765,7e00
3b02,c5b4,5c16,5c02
5be4,0e34,2aa4,30b8
12c9,7dc9,d052,7e00
3490,bc54,dc4d,dc4e
d9c8,976d,8800,355e
b032,d2ac,42cc,4932
df03,55bd,11c0,f908
9370,b1e7,a71f,a714
6821,8d5b,b85e,bcf2
1c47,e626,3899,c600
c0f9,e2a1,f1b5,f0ad
a875,c302,6f7a,6f7a
7d31,910b,a7c0,7e00
c435,20eb,a184,aa8d
ebdd,5edd,92fa,fc00
a738,5990,d26f,d310
4afe,4d2e,3b96,5c8b
acce,04e4,9b54,9b54
2f8d,9241,684a,684a
d1b2,e866,3da5,7c00
febf,32fb,9ae1,7e00
1b25,a531,d861,d861
1f51,1b1d,654e,654e
5b5a,e9b2,f1be,fc00
27e1,4533,70f8,70f8
d0a5,dde0,7bd7,7c00
a54e,d3fb,121d,3d4c
12f6,cc69,de32,de32
a850,c884,931c,34da
9b83,c089,d8b7,d8b7
4d90,5549,cb10,674c
4dfb,d753,ebd7,eea8
9044,6a21,1f05,be82
3834,15c1,10cc,156c
987d,8eea,f02a,f02a
2eef,afca,c772,c775
186e,42f8,5e96,5e96
9cb6,3b4f,185e,983e
17ca,2d75,578f,578f
5e07,e383,b167,fc00
eb83,a6b7,a118,564e
ecc2,475f,8cc2,f862
829a,105c,c29f,c29f
27b1,703c,da79,52ac
2c32,5d92,df14,deb6
5404,55d1,b25b,6dd7
92a9,8f3c,5a15,5a15
3594,9b45,fe00,7e00
fa84,98e8,420b,5817
4959,6c2d,ca21,7995
a7b0,f44d,66d9,6875
b72c,3f9a,5c48,5c45
5b19,28f8,582e,5875
1478,a8d5,28ee,28ee
f437,d95d,b06a,7c00
4b3e,d02f,ce3c,dff7
1150,7419,fb23,fb23
3500,e807,f270,f2c1
3762,c4fc,56b3,568e
eace,012e,427e,427e
0037,b2d5,220d,220d
f1d9,701b,1fd6,fc00
084d,acd7,bd81,bd81
416c,9a99,120d,a018
3aba,b537,f372,f372
1406,1402,466e,466e
4396,4aed,d96a,d78c
96ee,05fb,9fec,9fec
cd11,9df9,5b25,5b26
9ae2,8772,8c0e,8c0e
b4bf,1fd8,9676,9be2
b1e4,281b,62c9,62c9
0426,c7b8,c510,c510
74e6,1855,ddd9,dd2f
c07d,bb2b,1218,4005
9890,0e0c,acd3,acd3
1818,a643,1d89,1d89
2042,40e8,e86c,e86c
e491,686e,18e3,fc00
d06e,65d5,3821,fa75
326e,1f07,2fa7,2fbe
3d70,5aeb,1a52,5cb4
3e29,89a8,ea64,ea64
f605,4ab3,d519,fc00
bd3f,86e1,edba,edba
27b7,293a,436c,436d
b7c5,0ee4,6d78,6d78
e520,c5b4,6a95,714d
6914,c6c5,0645,f44c
15f6,1a6f,6a03,6a03
2d5d,db4a,cdbd,d150
ff3d,295d,365e,7e00
4e97,6b36,e488,7c00
32f6,fb82,60f2,f239
8a1e,c427,10e4,159f
2a23,2397,94de,8fd4
4005,dd41,a1d3,e148
36db,704a,e003,6a59
574e,a285,0075,bdf4
eb70,b65d,49f7,65f6
b7e5,33b2,fa3d,fa3d
95b8,d0c1,034e,2acc
2aca,3587,bc19,bc06
b5b2,58ac,7d2b,7e00
f684,1945,7599,7595
a475,fb43,6712,698f
e2d3,c0e0,b213,6829
9070,988b,f22e,f22e
0800,9859,328d,328d
b13f,a625,0724,1c25
077d,508a,7dfe,7e00
ff63,9b4c,c7ea,7e00
b902,4ea0,e385,e3a6
b2b1,e7f7,0009,5ea9
4104,5796,2689,5cc2
08ab,9b81,c80c,c80c
14a7,ee81,8653,c791
2140,053e,f664,f664
a948,4b10,cb08,cb53
c7ca,6b8e,3797,f75b
7e25,67f6,8da2,7e00
6e5d,a45e,9f30,d6f3
4644,793d,2fbb,7c00
00eb,a7b1,f14d,f14d
0774,2177,8dca,8dca
1488,ffa1,4a4b,7e00
1fe2,e622,ca00,ce06
1527,8d3f,ab95,ab95
ee3b,173f,555c,54a7
1f47,ef0a,a368,d267
e4e4,d90d,773b,7c00
5b1d,e522,52d4,fc00
3ca4,f804,4b52,f8a9
5d7a,004d,9d99,9d99
ea3d,5083,4258,fc00
36ec,4429,4858,493e
e991,a927,e747,e6d4
2526,7267,6e0d,6e4f
9b1f,2eb2,1e7c,1e1d
19a5,1760,5416,5416
923e,488e,23e0,2052
4a98,0890,84e0,1737
2bee,b1f6,cfc1,cfc2
47cd,f334,8e67,fc00
6867,0fb2,2c26,3c7e
07b2,a0c5,d685,d685
6a42,7986,44b2,7c00
5fc7,7a29,55bf,7c00
ddf3,3c0e,d66e,dfa4
169c,1520,e7f3,e7f3
61dd,24e6,039a,4b2e
81a3,c89c,2a25,2a25
7db8,0460,abfc,7e00
fbe4,7d9a,43b6,7e00
0920,94fd,08c3,08c3
4a55,e741,7e09,7e00
9204,b67a,c749,c749
ab60,b475,eb25,eb25
d78c,5c9e,732e,f51f
18e3,f76c,18d7,d489
fbb3,9eb7,f80e,f801
8c9c,4e87,fd04,7e00
ec9c,382e,4943,e8cc
8b4b,0eac,5081,5081
bd9a,405e,8a72,c21e
9af2,27a3,fd23,7e00
8319,e72a,fd1a,7e00
8844,1693,300a,300a
ecfd,3749,ab67,e88b
2a25,ac85,32c7,32ab
d816,032e,c159,c159
292d,616a,098b,4f01
28d9,288c,1e67,1fc8
ebbd,acd1,43d8,5cb9
3be0,de6e,6667,64d2
833b,6aaa,4dcb,4dcb
9beb,9163,3bef,3bef
b543,fc84,eb77,7e00
cf24,9747,007e,2a7f
cc69,6bf0,a25b,fc00
ff1e,ad79,d788,7e00
d3f5,5032,9c1c,e82c
edcd,ad27,0d28,5f79
0ed5,bb0a,3596,3594
8700,2b2d,5664,5664
8d94,8d59,066d,066d
b9a3,e4b5,cbd6,6283
4b38,8c00,873e,9b72
cfb5,9236,9972,254e
d3a7,f78e,0a94,7c00
2dae,dbc8,2534,cd85
7c88,e0c9,cdb3,7e00
9938,9074,7e99,7e00
33a8,9f22,623e,623e
f8f3,c218,8659,7c00
a84a,1f25,2181,2162
1f86,ecd1,21da,d088
e1a1,d95a,8e10,7c00
1a7f,b3aa,a3ba,a40f
136b,f2fa,34b2,ca52
c4b5,b297,b018,3abb
07c6,14b3,b2c5,b2c5
4df4,5757,b4a0,6976
d8b0,911c,703e,703e
f3ea,1295,4a99,3180
289b,3f71,95d4,2c32
6c30,c3c6,1350,f412
b453,4d68,c2b0,c898
9093,ce75,6155,6155
79db,543e,26bc,7c00
f567,da30,5146,7c00
2700,06df,ec8c,ec8c
a3dd,68d6,09b2,d0c1
5f7a,83b7,e2d2,e2d2
6d3d,081f,0a9d,3966
e91c,6d30,51ac,fc00
a5dc,611d,1c8f,cb7c
6da7,5c12,4811,7c00
8300,fa4d,9572,9572
bcae,ebf1,70c1,7314
19f5,d3db,9470,b1e2
6871,2cdd,96a5,5966
63b2,d33e,fe83,7e00
d780,cd07,fb9c,fb51
3036,9f66,be82,be83
331f,9309,85c9,8c94
ffd2,276d,d8a1,7e00
cd7b,efe0,b856,7c00
4036,9ddb,671f,671f
f4b1,4d86,3d5c,fc00
ac07,c340,b138,2c2a
2af6,d742,b7d7,c6ce
77d6,29ba,f6fe,f6a4
bffc,2147,dc35,dc35
7af8,4cee,0ce4,7c00
1a42,9c32,5e60,5e60
4e5b,8bee,3507,34ee
fda1,1f22,885f,7e00
5457,7c4d,251f,7e00
ec77,bb2d,49ea,6c04
2f8f,d1c3,d5f3,d64a
a0a4,f0b5,d9d4,d632
538d,bade,0336,d27b
43af,b7d1,1806,bf80
1149,e306,3ea0,3c4e
0896,ec54,d092,d0a6
4e6f,8d7c,a392,a5fe
3623,c51c,7abb,7abb
d051,2201,a780,b6f3
fb2e,5ac4,5793,fc00
4e0a,92e9,3bfe,3bd4
8581,72c2,91d6,bca7
2c76,d18b,c613,c895
3904,8324,33a5,33a5
04ff,f6dd,b388,c0c2
fce1,f434,1bab,7e00
d762,d5f3,edf9,6d03
ab55,456b,7517,7517
b250,eac9,bc9d,6159
4a77,083a,5fed,5fed
bed6,507f,92df,d3af
cad0,6f71,8c72,fc00
6cd0,0a0d,3208,3c65
8a27,8fc1,a0ec,a0ec
8518,ed66,5cc8,5cca
d6f5,4515,fcea,7e00
c9ed,c803,da99,d741
a1b9,e81c,2c6c,4de5
ea61,eed6,2324,7c00
404a,db45,7c91,7e00
e87f,ef54,6829,7c00
9563,e028,7ba5,7ba5
6821,9c10,56a4,561e
7c98,dbe5,f579,7e00
324b,0656,be74,be74
9f69,4155,efd4,efd4
c81a,9f38,3d1e,3d59
4285,72da,10a7,7995
e261,790b,b6ec,fc00
d7f8,bb34,21c6,572d
6b89,e6ac,2d90,fc00
8b99,8bd4,5ddb,5ddb
72bd,ca79,8e2d,fc00
f63f,5081,8bfb,fc00
9735,c56a,eec0,eec0
4b32,52b4,2d23,6207
5572,3319,d01c,cac6
e094,cf0a,d527,7402
e80a,5dff,1aa3,fc00
6470,60ba,2b26,7c00
7ae7,e4e2,c535,fc00
7061,d036,5a6e,fc00
0a97,12f5,7195,7195
d844,5d37,5520,f98d
e6f9,9e23,22ee,495b
bc93,bdd2,06e2,3ea8
7cf3,3dea,2f50,7e00
dbbd,5dfa,b16c,fc00
97ea,01e1,b8c8,b8c8
8099,9dc1,05f4,05f4
8848,3ac8,8927,8c64
9410,d680,84d8,2e99
003c,23aa,4667,4667
d829,b018,3426,4c53
5f22,b082,6df1,6de1
84e4,506b,a0ab,a205
25b2,4ddd,5065,5076
5b61,5a0b,c912,7993
6664,ec2b,bfba,fc00
0ffa,1b30,8bbc,8bbc
5410,c149,8e38,d95e
6f36,f5f0,df2e,fc00
500b,053d,ae4f,ae25
60d7,0152,1707,1707
2fde,ca94,2c50,be33
06d6,d5e4,0975,a0f3
9bcf,e2c5,14c7,429d
3e18,d9d1,f458,f46a
d50b,2e8e,ee3a,ee3c
cf99,61e8,df6c,f5ba
b619,e02e,6d1f,6d52
9309,740f,12c6,cb23
a190,2f96,5719,5719
dbd4,4c55,70f9,6db5
4186,af0d,914e,b4e1
2274,5e06,1088,44dc
2b72,3aaf,1f47,2b21
45f1,a33a,72d6,72d6
85dc,1a51,8cde,8cde
d3dd,c973,63a6,6680
4be2,9191,45ba,45b7
cde9,0266,5510,5510
5e0d,249e,cc97,c9b0
dbe2,8a6b,78bb,78bb
df2c,3461,4082,d7b6
fb24,74aa,0ba7,fc00
7bd9,50b6,5bd6,7c00
316b,a026,de0e,de0e
6f77,19f0,ae03,4d84
d55c,3bd5,c398,d57c
1d8c,6ad1,bca0,4c70
700f,e1ec,35a9,fc00
246b,3b7d,adc1,acb8
2136,e2e2,cca9,cee7
0221,e99d,90fa,90fa
72f6,270c,6c8c,6cee
7511,bd9f,365f,f71f
0ee2,777a,9c26,4a6e
a32d,3ff3,b01c,b100
73bd,c7f0,f1dc,fc00
f13d,20f4,f2eb,f2f8
32b8,810f,4db7,4db7
46eb,e4ee,2978,f043
9109,9b9d,c398,c398
5ffe,0d66,d153,d14e
3184,2a40,7fdd,7e00
4eb0,0802,adac,ad76
848d,6177,7e9d,7e00
87f1,d943,8091,2539
b7bd,d124,9e98,4cf9
e1af,62c0,fbb4,fc00
5fed,b7ce,8a48,dbbb
118e,3b30,df78,df78
5d57,23c3,7c8b,7e00
a8ba,a7f9,0724,1528
e83c,afe4,a3aa,5c2d
7d7b,92c5,0326,7e00
e5b7,dd3e,f52d,7c00
ed57,a00a,743d,7440
874c,38e1,bc98,bc98
5ec6,3a33,f303,f2d9
d63a,f647,de93,7c00
bf5c,3e3e,9535,c1bf
a374,fcf2,8dec,7e00
856d,2d49,9c6a,9c6a
f0e1,c338,c8d9,7867
43a8,6af0,a9f9,72a4
d902,3777,cf05,d66d
3e04,c704,2035,c946
1c2e,02d6,cab0,cab0
b608,2c62,f413,f413
4779,76f0,663c,7c00
a77a,1de9,49a2,49a2
eab1,6351,683d,fc00
dc90,b8d7,6002,6163
709f,1ee2,efe5,efd5
d30c,1c77,837c,b3de
27ee,ec58,e948,e98d
9243,878d,4564,4564
ae61,450a,4668,45e7
b3b7,5d42,aa7a,d513
e3db,7e1c,fe88,7e00
44c2,9398,5ae1,5ae1
654b,70a9,7208,7c00
b5ce,f027,a618,6a07
fd04,e58a,c3ba,7e00
3ce1,63d7,9c7b,64c8
83ce,1025,3947,3947
54fa,0f84,14af,28d2
b659,a391,71c5,71c5
a024,ed3b,26af,516b
0bcc,a31b,4fc4,4fc4
53cc,b250,9471,ca27
ec27,252c,b8df,d568
c13d,095c,4872,4872
4ab9,f542,0637,fc00
2c27,7761,1827,67a9
cf5a,67cc,f6ec,fc00
8520,e505,50d7,50da
1c92,c94f,4ca7,4ca4
085b,b960,7a3a,7a3a
fe3a,fb2f,46a8,7e00
9b0c,816a,ca2c,ca2c
7d58,66b4,b4a9,7e00
f163,50be,0e9a,fc00
09a5,d2bb,5806,5806
f884,beea,c22c,7bce
2339,0af8,bff2,bff2
d41e,ba16,31a9,524a
9d89,0a9f,596a,596a
2db4,8e9d,a626,a626
8f9e,6851,4963,48e0
ed01,becd,e24c,6fb8
67dc,660b,8126,7c00
27c1,54df,760c,760c
ec2d,269a,0470,d6e4
f4e8,8810,f167,f167
7cde,1b61,32bb,7e00
91bf,7b57,f96c,f96d
f2a2,03ef,1545,1545
29d2,b99d,adc6,afd0
7249,54e8,a4df,7c00
33e1,ef3e,059b,e722
823b,894e,64dd,64dd
6824,13dc,4115,4493
34c3,1b93,475f,475f
b1e3,c4f1,1d43,3b51
f2da,b8bf,c410,7010
3a0b,e395,f990,f9a7
1f89,2375,cac0,cac0
e015,51d9,2c77,f5f8
bffa,d8d1,0931,5ccd
5d0d,92bf,c2ae,c336
611c,52cb,2ea3,7857
62fa,54e2,53b3,7c00
897c,69cb,5406,53fc
e01c,e38a,ac20,7c00
1e85,7b6e,b84e,5e0c
ef9f,6bb2,69ca,fc00
7239,77d6,ae19,7c00
2de1,65ad,32e1,582e
8d1c,e203,37d0,39d4
5c62,198c,7de8,7e00
4026,0d0e,a376,a322
8b1c,289c,444a,444a
5b73,c71f,ec81,ee29
b6ae,33cd,cc53,cc5a
0c15,2dca,561a,561a
cec2,cb50,ad7d,5e2d
baeb,6db7,7e5b,7e00
83dc,d014,992e,992e
3fcf,f364,6fba,f548
d053,bf05,8692,5397
f7b8,7dc4,f582,7e00
15fa,1d00,3239,3239
af7b,c3a5,4e0e,4e2b
2ca1,07bc,bca2,bca2
673f,4bf0,a318,7731
4317,be0b,6711,670c
950e,59eb,48cf,48b1
4e1a,8647,543b,543b
99ad,c3d8,1690,2263
8e5c,0d34,2207,2207
224e,441a,b6ad,b5de
4e31,77f3,98c6,7c00
f982,f15c,43bf,7c00
97ab,a2b4,1617,1617
af3b,d179,cb82,c909
3b93,de2d,020e,ddd9
0c98,badd,e8cd,e8cd
f9c6,2d10,6f7d,6bab
34eb,c753,86e3,c081
2208,96a5,ffaf,7e00
23f8,dbbb,ff3e,7e00
fad5,13f5,d9f4,dba7
c074,8981,d557,d557
4247,e18a,743f,7368
4ecc,ead0,9047,fc00
ef14,e111,67dd,7c00
753f,7151,456d,7c00
edee,f25e,a0a5,7c00
661f,180a,552c,555d
a2d8,fb20,c7fb,6208
5065,cda8,7587,7555
c30a,80d5,0eb2,0eb2
b457,2628,a990,aa66
9a4b,eb78,cc2d,c4f4
969f,bdce,224f,2382
b535,7455,785b,774d
be93,8aa0,22c9,22f5
23a7,579f,f0f1,f0f1
f7fb,df60,c001,7c00
18e0,6b20,b6e8,4821
afcc,479d,ffa0,7e00
5a4c,b873,de99,e02d
c395,cc66,a8c1,542a
3ca5,5b66,8059,5c4c
c6ad,2879,3ff1,3f02
f08e,0be1,0069,c07c
2376,61ab,f530,f52f
c767,17ca,e13c,e13c
97c2,c27a,0785,1e66
4808,9b05,cc48,cc4a
fd66,e8de,659f,7e00
8228,fd71,62cb,7e00
d507,8f47,66b1,66b1
f75b,0d3d,6453,6449
353d,f06e,60fa,e88e
897e,6806,81ca,b586
b453,80cf,0383,0000
2d85,6d39,4015,5f3d
2199,837e,8202,0000
dc7e,5328,debb,f420
7369,900d,b3ca,c7bf
3bd1,3bf5,1c0b,3bce
2856,ae0b,eb8c,eb8c
0618,352c,44f2,44f2
6879,7c92,4e36,7e00
e2ed,cd63,12ac,74aa
4787,6edc,ae76,7a74
0934,12b6,691f,691f
c132,5f2b,4e51,e48f
27c5,9b91,3ed2,3ed2
0295,9224,bd5f,bd5f
e137,0b68,643a,643a
be82,eb9b,36c9,6e30
22f2,7022,b1bc,572a
985c,3fb5,d7be,d7be
b4ce,8160,e386,e386
754b,ef30,1b5d,fc00
b6d4,c09e,e7b9,e7b8
03bc,8817,2193,2193
bb24,3203,eadb,eadb
656b,8d7d,9a13,b77b
83bb,9897,be31,be31
c6b0,3bb2,125f,c66f
